Work_Order_ID,Program_Name,Platform,Production_Cell,Operation_Step,Component_Type,Supplier,Machine_ID,Machine_Status,Quality_Flag,Defect_Type,Inventory_Level,Reorder_Point,Supplier_Risk,Supplier_Lead_Time_Days,Single_Source_Supplier,Critical_Material_Flag,Cycle_Time_Hours,Queue_Time_Hours,Labor_Hours_Required,Workforce_Availability,Inspection_Backlog_Hours,First_Pass_Yield,Mission_Priority,Delivery_Deadline_Days,Recovery_Cost,Alternate_Route_Available,Alternate_Supplier_Available,Overtime_Available,Estimated_Delay_Hours,Contract_Delivery_Risk,Operational_Risk,Readiness_Impact,Risk_Level,Recovery_Confidence,Estimated_Recovery_Hours,Primary_Disruption,Recovery_Priority,Escalation_Required,Bottleneck_Severity
WO-10015,Ground Sensor Platform,Sensor Package,Surface Treatment,Final Assembly,Navigation Board,Summit Electronics,M-03,Degraded,Pass,None,147,65,0.12,51,Yes,Yes,15.1,27.1,14.4,0.96,6.5,0.9,1,11,3641,No,No,Yes,36,Controlled,47.7,9.5,Moderate,0.39,30,Supply Chain Constraint,Routine,False,36.7
WO-10016,Radar Modernization,UAV,Inspection,Subsystem Integration,Radar Housing,AeroForge,M-06,Operational,Pass,None,168,45,0.09,14,Yes,No,13.9,28.4,14.5,0.86,12.9,0.91,3,15,32831,No,No,No,20,Controlled,28.8,17.3,Low,0.25,18,Supply Chain Constraint,Routine,False,23.1
WO-10017,Avionics Retrofit,Ground Vehicle,Machining,Subsystem Integration,Actuator Assembly,Vector Metals,M-22,Operational,Pass,None,92,73,0.25,12,No,No,17.9,23.2,9.9,0.83,3.0,0.92,4,16,69233,Yes,Yes,Yes,11,Controlled,17.8,14.2,Low,0.85,7,Nominal,Routine,False,14.2
WO-10018,Tactical UAV Production,Radar System,Final Assembly,Subsystem Integration,Power Unit,Orion Plating,M-13,Operational,Pass,None,124,55,0.63,22,No,No,18.3,13.6,12.0,0.82,13.6,0.96,5,24,55670,No,Yes,No,20,Controlled,29.0,29.0,Low,0.53,15,Nominal,Moderate,False,25.0
WO-10019,Avionics Retrofit,UAV,Systems Integration,Material Prep,Radar Housing,AeroForge,M-20,Operational,Pass,None,160,28,0.45,20,Yes,Yes,21.3,1.5,18.5,0.9,8.0,0.84,2,28,50962,Yes,No,No,31,Controlled,53.4,21.4,Moderate,0.43,25,Supply Chain Constraint,Routine,False,38.5
WO-10020,Avionics Retrofit,Radar System,Inspection,Final Assembly,Actuator Assembly,AeroForge,M-17,Operational,Inspection Hold,Dimensional,176,57,0.05,42,No,Yes,6.3,30.3,21.8,0.86,26.8,0.92,2,30,12765,Yes,Yes,Yes,57,Controlled,47.4,19.0,Moderate,0.85,35,Quality / Inspection,Routine,False,47.5
WO-10021,Avionics Retrofit,Ground Vehicle,Systems Integration,Electronics Install,Navigation Board,AeroForge,M-08,Degraded,Rework,Dimensional,38,72,0.39,7,No,No,17.2,18.3,3.2,0.72,15.5,0.92,3,30,31993,No,Yes,Yes,61,Controlled,65.2,39.1,High,0.67,43,Material Shortage,Moderate,False,59.4
WO-10022,Ground Sensor Platform,Avionics Kit,Avionics Assembly,Surface Finish,Navigation Board,Summit Electronics,M-08,Degraded,Pass,None,94,59,0.65,51,No,No,24.1,12.9,11.7,0.83,4.4,0.86,5,41,48101,Yes,Yes,Yes,30,Controlled,38.5,38.5,Moderate,0.85,19,Nominal,Moderate,False,34.7
WO-10023,Ground Sensor Platform,Sensor Package,Final Assembly,Acceptance Test,Actuator Assembly,Vector Metals,M-10,Operational,Pass,None,61,53,0.35,5,No,No,27.5,22.7,11.3,0.83,13.8,0.93,2,43,47694,No,Yes,No,21,Controlled,28.4,11.4,Low,0.53,16,Nominal,Routine,False,22.5
WO-10024,Ground Sensor Platform,Sensor Package,Surface Treatment,Subsystem Integration,Navigation Board,Northline Components,M-10,Down,Pass,None,184,32,0.47,20,No,Yes,5.2,2.4,17.4,0.87,19.8,0.86,2,44,20038,No,Yes,Yes,62,Controlled,62.3,24.9,Moderate,0.67,43,Machine Downtime,Routine,True,56.6
WO-10025,Radar Modernization,Avionics Kit,Inspection,Electronics Install,Thermal Shield,Delta Circuits,M-01,Operational,Inspection Hold,Electrical,181,27,0.09,56,No,No,24.5,26.9,17.9,0.71,14.7,0.84,4,12,64714,Yes,No,Yes,45,Controlled,35.5,28.4,Moderate,0.67,31,Quality / Inspection,Moderate,False,38.7
WO-10026,Ground Sensor Platform,Ground Vehicle,Systems Integration,Quality Inspection,Navigation Board,Northline Components,M-16,Operational,Pass,None,81,67,0.46,47,No,No,12.3,10.6,19.7,0.7,3.4,0.87,5,21,54528,No,No,Yes,25,Controlled,30.8,30.8,Low,0.49,19,Nominal,Moderate,False,28.2
WO-10027,Avionics Retrofit,UAV,Surface Treatment,Material Prep,Power Unit,Delta Circuits,M-23,Degraded,Pass,None,140,54,0.3,32,No,Yes,11.5,3.4,5.6,0.75,11.3,0.89,5,39,27388,Yes,No,No,35,Controlled,37.8,37.8,Moderate,0.53,27,Nominal,Moderate,False,36.5
WO-10028,Mission Systems Upgrade,Radar System,Inspection,Surface Finish,Navigation Board,Vector Metals,M-06,Operational,Pass,None,169,70,0.26,59,No,No,9.8,9.4,8.1,0.74,27.5,0.78,4,5,43207,No,No,Yes,18,Controlled,26.8,21.4,Low,0.49,14,Yield Loss,Routine,False,22.0
WO-10029,Mission Systems Upgrade,Avionics Kit,Systems Integration,Subsystem Integration,Actuator Assembly,Delta Circuits,M-19,Degraded,Pass,None,54,64,0.36,14,Yes,No,26.8,18.9,10.4,0.66,17.4,0.84,3,15,5478,Yes,Yes,Yes,62,Controlled,75.8,45.5,High,0.75,41,Supply Chain Constraint,High,False,65.0
WO-10030,Ground Sensor Platform,Radar System,Systems Integration,Material Prep,Radar Housing,Summit Electronics,M-03,Operational,Pass,None,148,28,0.67,29,No,No,12.8,1.1,3.8,0.9,2.0,0.9,2,14,37988,Yes,Yes,No,17,Controlled,34.9,14.0,Low,0.71,12,Nominal,Routine,False,23.7
WO-10031,Radar Modernization,Radar System,Avionics Assembly,Surface Finish,Power Unit,Delta Circuits,M-22,Operational,Rework,Electrical,93,41,0.55,17,No,Yes,14.0,25.9,4.6,0.69,4.8,0.95,1,3,70134,Yes,Yes,Yes,40,Elevated,50.4,11.6,Moderate,0.85,25,Schedule Risk,Routine,False,39.9
WO-10032,Tactical UAV Production,UAV,Machining,Subsystem Integration,Guidance Module,Northline Components,M-16,Operational,Pass,None,162,39,0.44,51,Yes,No,24.2,9.9,20.3,0.85,6.4,0.98,1,18,55725,Yes,No,Yes,25,Controlled,40.5,8.1,Moderate,0.57,19,Supply Chain Constraint,Routine,False,28.7
WO-10033,Mission Systems Upgrade,Ground Vehicle,Inspection,Electronics Install,Actuator Assembly,Delta Circuits,M-19,Operational,Pass,None,19,61,0.06,24,Yes,No,20.4,26.9,8.0,0.95,21.9,0.75,4,9,51091,Yes,No,No,37,Controlled,56.5,45.2,Moderate,0.43,30,Supply Chain Constraint,High,False,46.0
WO-10034,Ground Sensor Platform,Avionics Kit,Final Assembly,Material Prep,Power Unit,Summit Electronics,M-14,Operational,Pass,None,113,53,0.68,54,No,No,9.1,2.8,13.7,0.69,11.0,0.95,1,3,6263,Yes,No,Yes,24,Controlled,38.8,7.8,Moderate,0.67,17,Nominal,Routine,False,27.5
WO-10035,Avionics Retrofit,UAV,Machining,Subsystem Integration,Power Unit,Vector Metals,M-18,Degraded,Pass,None,130,63,0.52,36,No,No,15.4,1.4,17.8,0.87,4.7,0.85,4,40,50162,No,Yes,No,27,Controlled,35.6,28.5,Moderate,0.53,21,Nominal,Moderate,False,30.7
WO-10036,Radar Modernization,Sensor Package,Final Assembly,CNC Machining,Navigation Board,Summit Electronics,M-23,Operational,Pass,None,173,42,0.6,30,No,No,15.4,27.0,16.5,0.83,9.8,0.84,4,40,53213,No,Yes,Yes,18,Controlled,32.9,26.3,Low,0.67,13,Nominal,Moderate,False,25.2
WO-10037,Avionics Retrofit,UAV,Surface Treatment,CNC Machining,Navigation Board,Summit Electronics,M-09,Degraded,Rework,Coating Defect,177,69,0.3,39,No,No,12.6,22.1,20.7,0.87,7.1,0.84,2,18,31072,Yes,Yes,No,36,Controlled,38.6,15.4,Moderate,0.71,24,Nominal,Routine,False,34.0
WO-10038,Tactical UAV Production,Avionics Kit,Avionics Assembly,Quality Inspection,Guidance Module,Delta Circuits,M-03,Degraded,Pass,None,113,69,0.52,31,Yes,No,14.2,10.1,2.4,0.81,15.5,0.9,2,31,38424,Yes,Yes,Yes,40,Controlled,52.0,20.8,Moderate,0.75,26,Supply Chain Constraint,Routine,False,41.9
WO-10039,Mission Systems Upgrade,Sensor Package,Inspection,Acceptance Test,Radar Housing,Summit Electronics,M-15,Degraded,Inspection Hold,Surface Finish,186,54,0.11,8,No,No,4.5,30.6,14.1,0.85,13.3,0.77,3,9,10233,Yes,No,Yes,53,Controlled,44.3,26.6,Moderate,0.67,37,Quality / Inspection,Moderate,False,45.6
WO-10040,Mission Systems Upgrade,Avionics Kit,Machining,Electronics Install,Radar Housing,Orion Plating,M-01,Operational,Pass,None,147,55,0.17,56,No,Yes,8.9,30.6,5.2,0.84,5.0,0.87,5,32,12221,No,Yes,Yes,18,Controlled,26.0,26.0,Low,0.67,13,Nominal,Moderate,False,22.4
WO-10041,Mission Systems Upgrade,Radar System,Surface Treatment,CNC Machining,Flight Control Bracket,AeroForge,M-01,Degraded,Pass,None,178,25,0.36,47,No,No,16.0,16.2,4.2,0.78,19.2,0.86,5,43,13136,Yes,Yes,Yes,30,Controlled,31.5,31.5,Low,0.85,19,Nominal,Moderate,False,30.8
WO-10042,Tactical UAV Production,Radar System,Surface Treatment,Material Prep,Guidance Module,Summit Electronics,M-01,Operational,Pass,None,64,28,0.3,30,No,Yes,27.7,29.6,16.7,0.87,6.4,0.94,4,17,43038,Yes,No,Yes,25,Controlled,32.1,25.7,Low,0.67,17,Nominal,Moderate,False,27.9
WO-10043,Ground Sensor Platform,Sensor Package,Systems Integration,Final Assembly,Guidance Module,Delta Circuits,M-22,Operational,Rework,Dimensional,58,56,0.25,35,No,Yes,13.9,5.5,4.6,0.83,8.3,0.96,5,30,25638,No,Yes,Yes,37,Controlled,35.2,35.2,Moderate,0.67,26,Nominal,Moderate,False,36.0
WO-10044,Tactical UAV Production,Ground Vehicle,Machining,Subsystem Integration,Navigation Board,Northline Components,M-08,Operational,Pass,None,21,58,0.57,37,No,No,21.5,35.7,12.4,0.9,3.7,0.97,1,33,29059,No,Yes,Yes,35,Controlled,56.5,11.3,Moderate,0.67,24,Material Shortage,Routine,False,40.0
WO-10045,Avionics Retrofit,Ground Vehicle,Final Assembly,Quality Inspection,Navigation Board,Delta Circuits,M-10,Operational,Pass,None,79,42,0.42,30,Yes,Yes,19.4,23.9,15.1,0.61,6.9,0.85,3,9,58915,No,Yes,Yes,44,Controlled,58.0,34.8,Moderate,0.57,33,Supply Chain Constraint,Moderate,False,48.2
WO-10046,Mission Systems Upgrade,Radar System,Systems Integration,Final Assembly,Guidance Module,Delta Circuits,M-07,Operational,Pass,None,174,70,0.37,57,No,No,17.9,9.9,14.3,0.74,17.6,0.88,3,21,52193,Yes,Yes,No,19,Controlled,28.0,16.8,Low,0.71,13,Nominal,Routine,False,22.3
WO-10047,Radar Modernization,Ground Vehicle,Final Assembly,CNC Machining,Navigation Board,Summit Electronics,M-20,Operational,Pass,None,163,52,0.47,29,No,Yes,25.7,33.3,18.8,0.89,11.9,0.93,4,12,57787,Yes,Yes,Yes,23,Controlled,35.4,28.3,Moderate,0.85,14,Nominal,Moderate,False,28.8
WO-10048,Radar Modernization,Radar System,Surface Treatment,Surface Finish,Sensor Mount,Northline Components,M-09,Operational,Rework,Foreign Object Debris,80,57,0.53,49,Yes,Yes,10.7,28.9,18.7,0.78,16.4,0.8,1,19,35168,Yes,Yes,Yes,54,Controlled,70.9,14.2,High,0.75,36,Supply Chain Constraint,Routine,False,54.8
WO-10049,Mission Systems Upgrade,Avionics Kit,Surface Treatment,Acceptance Test,Flight Control Bracket,Summit Electronics,M-15,Operational,Pass,None,17,54,0.24,48,No,No,4.9,30.1,5.1,0.86,12.8,0.87,2,31,60244,No,No,Yes,32,Controlled,48.9,19.6,Moderate,0.49,25,Material Shortage,Routine,False,36.9
WO-10050,Ground Sensor Platform,Sensor Package,Surface Treatment,Quality Inspection,Radar Housing,Summit Electronics,M-08,Operational,Pass,None,63,33,0.13,28,No,Yes,22.5,30.1,18.3,0.85,9.1,0.91,4,36,14635,No,Yes,No,23,Controlled,27.9,22.3,Low,0.53,18,Nominal,Routine,False,24.9
WO-10051,Avionics Retrofit,Radar System,Avionics Assembly,CNC Machining,Flight Control Bracket,Northline Components,M-07,Operational,Pass,None,17,36,0.61,5,No,Yes,19.0,29.8,4.9,0.72,14.2,0.93,3,25,35472,Yes,Yes,No,48,Controlled,69.0,41.4,High,0.71,33,Material Shortage,Moderate,False,55.4
WO-10052,Mission Systems Upgrade,Radar System,Systems Integration,Final Assembly,Guidance Module,Northline Components,M-13,Operational,Pass,None,143,40,0.38,25,Yes,No,5.1,4.0,5.1,0.7,15.2,0.88,4,44,64393,No,Yes,Yes,29,Controlled,40.3,32.2,Moderate,0.57,22,Supply Chain Constraint,Moderate,False,34.0
WO-10053,Mission Systems Upgrade,Avionics Kit,Systems Integration,Acceptance Test,Thermal Shield,Vector Metals,M-05,Operational,Inspection Hold,Dimensional,92,57,0.42,18,No,No,23.5,25.9,2.0,0.66,11.6,0.89,4,29,21363,Yes,No,No,50,Controlled,44.4,35.5,Moderate,0.53,38,Quality / Inspection,Moderate,False,45.6
WO-10054,Tactical UAV Production,Radar System,Systems Integration,Final Assembly,Flight Control Bracket,AeroForge,M-13,Operational,Pass,None,88,53,0.66,51,Yes,Yes,25.3,23.6,5.0,0.91,9.5,0.89,1,38,70326,Yes,Yes,Yes,40,Controlled,63.2,12.6,Moderate,0.75,26,Supply Chain Constraint,Routine,False,45.2
WO-10055,Radar Modernization,Sensor Package,Machining,Material Prep,Guidance Module,Summit Electronics,M-03,Operational,Pass,None,24,46,0.2,9,No,Yes,11.4,2.9,8.8,0.79,6.5,0.87,1,36,66906,No,Yes,Yes,38,Controlled,58.8,11.8,Moderate,0.67,27,Material Shortage,Routine,False,42.4
WO-10056,Avionics Retrofit,Sensor Package,Inspection,Electronics Install,Radar Housing,Delta Circuits,M-20,Operational,Pass,None,24,65,0.26,12,Yes,No,10.4,34.2,13.3,0.93,13.4,0.92,5,16,38651,Yes,No,Yes,40,Controlled,55.5,55.5,Moderate,0.57,30,Supply Chain Constraint,High,False,48.5
WO-10057,Ground Sensor Platform,Ground Vehicle,Machining,Electronics Install,Guidance Module,Northline Components,M-08,Operational,Pass,None,186,30,0.58,6,No,No,13.2,23.2,20.5,0.98,4.5,0.89,3,14,35200,Yes,Yes,Yes,14,Controlled,30.0,18.0,Low,0.85,9,Nominal,Routine,False,21.0
WO-10058,Radar Modernization,Radar System,Surface Treatment,Acceptance Test,Flight Control Bracket,AeroForge,M-09,Operational,Pass,None,61,33,0.46,58,Yes,No,21.6,10.0,18.4,0.98,13.6,0.89,2,44,6311,No,Yes,No,29,Controlled,44.8,17.9,Moderate,0.43,23,Supply Chain Constraint,Routine,False,33.7
WO-10059,Mission Systems Upgrade,UAV,Surface Treatment,Subsystem Integration,Radar Housing,Summit Electronics,M-16,Operational,Pass,None,20,26,0.47,13,No,No,2.1,28.5,8.3,0.97,10.0,0.88,5,5,22099,Yes,No,Yes,33,Controlled,50.1,50.1,Moderate,0.67,23,Material Shortage,High,False,42.4
WO-10060,Radar Modernization,Avionics Kit,Final Assembly,Material Prep,Navigation Board,Orion Plating,M-20,Operational,Pass,None,177,54,0.68,36,Yes,No,14.5,20.8,21.6,0.78,8.1,0.88,2,8,32777,Yes,No,No,31,Controlled,51.6,20.6,Moderate,0.43,25,Supply Chain Constraint,Routine,False,37.7
WO-10061,Ground Sensor Platform,Radar System,Surface Treatment,Quality Inspection,Thermal Shield,AeroForge,M-01,Operational,Pass,None,98,48,0.45,36,No,No,18.1,2.4,11.0,0.88,7.4,0.8,1,27,16164,Yes,Yes,No,14,Controlled,33.0,6.6,Low,0.71,10,Yield Loss,Routine,False,20.5
WO-10062,Radar Modernization,Avionics Kit,Systems Integration,Electronics Install,Navigation Board,Delta Circuits,M-02,Operational,Pass,None,188,68,0.63,24,No,Yes,15.9,35.8,21.2,0.66,13.3,0.87,3,24,67966,Yes,No,No,31,Controlled,47.2,28.3,Moderate,0.53,24,Labor Constraint,Moderate,False,37.1
WO-10063,Radar Modernization,UAV,Final Assembly,Material Prep,Thermal Shield,Summit Electronics,M-04,Operational,Pass,None,17,70,0.51,43,No,Yes,27.2,11.9,5.4,0.69,14.6,0.83,2,31,65379,No,No,No,47,Controlled,71.0,28.4,High,0.35,40,Material Shortage,Moderate,False,53.8
WO-10064,Mission Systems Upgrade,Sensor Package,Systems Integration,CNC Machining,Navigation Board,Orion Plating,M-07,Operational,Rework,Surface Finish,105,73,0.83,54,No,No,13.9,14.5,8.9,0.76,3.4,0.83,3,35,55024,No,No,Yes,35,Controlled,49.6,29.8,Moderate,0.49,27,Supply Chain Constraint,Moderate,False,40.1
WO-10065,Avionics Retrofit,Avionics Kit,Avionics Assembly,CNC Machining,Flight Control Bracket,Summit Electronics,M-19,Operational,Pass,None,45,58,0.94,56,Yes,Yes,6.0,3.2,5.5,0.84,14.9,0.89,4,29,60237,No,No,No,60,Controlled,91.4,73.1,High,0.25,53,Supply Chain Constraint,Critical,True,74.5
WO-10066,Tactical UAV Production,Radar System,Final Assembly,Material Prep,Radar Housing,Vector Metals,M-06,Operational,Inspection Hold,Surface Finish,119,72,0.41,22,No,Yes,10.3,23.9,15.3,0.73,5.7,0.93,4,40,14743,No,Yes,Yes,50,Controlled,48.8,39.0,Moderate,0.67,35,Quality / Inspection,Moderate,False,47.9
WO-10067,Avionics Retrofit,Ground Vehicle,Systems Integration,Material Prep,Power Unit,Summit Electronics,M-11,Down,Pass,None,23,49,0.54,55,Yes,No,7.9,23.3,2.5,0.93,9.5,0.95,3,14,36978,Yes,No,Yes,82,Controlled,87.3,52.4,High,0.57,61,Machine Downtime,High,True,79.7
WO-10068,Avionics Retrofit,Ground Vehicle,Machining,Quality Inspection,Guidance Module,Summit Electronics,M-18,Operational,Rework,Coating Defect,121,46,0.47,41,No,No,13.1,29.4,11.9,0.93,5.1,0.87,3,34,27851,Yes,No,No,26,Controlled,34.6,20.8,Low,0.53,20,Nominal,Routine,False,28.7
WO-10069,Ground Sensor Platform,Radar System,Systems Integration,Subsystem Integration,Radar Housing,AeroForge,M-22,Operational,Inspection Hold,Dimensional,57,34,0.42,23,No,No,20.4,7.1,8.8,0.79,4.4,0.86,3,13,24854,Yes,No,No,46,Controlled,44.8,26.9,Moderate,0.53,35,Quality / Inspection,Moderate,False,42.7
WO-10070,Avionics Retrofit,Ground Vehicle,Surface Treatment,CNC Machining,Thermal Shield,Northline Components,M-18,Degraded,Pass,None,43,47,0.51,20,No,Yes,14.2,14.7,6.4,0.94,9.0,0.83,2,18,11989,Yes,Yes,Yes,52,Controlled,73.8,29.5,High,0.85,32,Material Shortage,Moderate,False,57.3
WO-10071,Avionics Retrofit,Sensor Package,Avionics Assembly,Material Prep,Navigation Board,Vector Metals,M-12,Operational,Pass,None,9,68,0.95,30,No,No,22.6,17.1,3.2,0.68,9.2,0.88,4,23,32033,Yes,No,No,46,Controlled,70.3,56.2,High,0.53,35,Supply Chain Constraint,High,False,57.2
WO-10072,Ground Sensor Platform,Radar System,Systems Integration,CNC Machining,Thermal Shield,AeroForge,M-20,Down,Pass,None,128,68,0.78,13,No,Yes,17.8,33.9,8.6,0.81,6.7,0.85,2,12,16650,Yes,No,Yes,66,Controlled,72.3,28.9,High,0.67,46,Machine Downtime,Moderate,True,63.0
WO-10073,Ground Sensor Platform,Sensor Package,Machining,CNC Machining,Actuator Assembly,Delta Circuits,M-06,Operational,Rework,Dimensional,155,71,0.18,55,No,No,8.1,10.7,21.3,0.79,4.9,0.9,4,13,58731,No,Yes,No,24,Controlled,24.0,19.2,Low,0.53,18,Nominal,Routine,False,23.3
WO-10074,Ground Sensor Platform,Sensor Package,Surface Treatment,Material Prep,Power Unit,Northline Components,M-09,Operational,Pass,None,188,35,0.36,16,No,Yes,12.3,27.1,9.1,0.8,7.1,0.85,3,23,56226,No,No,No,22,Controlled,36.5,21.9,Moderate,0.35,19,Nominal,Routine,False,27.8
WO-10075,Mission Systems Upgrade,Sensor Package,Systems Integration,Electronics Install,Guidance Module,Summit Electronics,M-02,Operational,Pass,None,50,29,0.31,46,No,Yes,6.8,17.2,7.4,0.88,16.5,0.94,4,14,46098,Yes,Yes,No,26,Controlled,32.8,26.2,Low,0.71,18,Nominal,Moderate,False,28.8
WO-10076,Radar Modernization,Avionics Kit,Avionics Assembly,CNC Machining,Sensor Mount,Summit Electronics,M-15,Operational,Pass,None,78,29,0.73,13,No,Yes,25.9,30.8,18.9,0.74,3.7,0.94,3,15,9674,No,Yes,No,36,Controlled,49.9,29.9,Moderate,0.53,27,Nominal,Moderate,False,40.6
WO-10077,Tactical UAV Production,Sensor Package,Avionics Assembly,Acceptance Test,Sensor Mount,AeroForge,M-21,Operational,Inspection Hold,Foreign Object Debris,187,62,0.84,13,No,Yes,8.2,18.6,11.9,0.84,8.1,0.93,4,43,68703,Yes,No,Yes,55,Controlled,61.9,49.5,Moderate,0.67,38,Quality / Inspection,High,False,56.9
WO-10078,Ground Sensor Platform,UAV,Inspection,Surface Finish,Thermal Shield,Vector Metals,M-23,Operational,Pass,None,155,70,0.44,26,No,No,27.7,4.3,10.0,0.95,15.7,0.88,2,28,30251,No,No,Yes,13,Controlled,27.9,11.2,Low,0.49,10,Nominal,Routine,False,18.7
